fingerprint,cluster_size,record_ids,auto_merge
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,13,pdmx-qmamnfbx1bqmkshrbb1wbdw7e9faadtulhwgw36sop5dj3;pdmx-qmb3cvh1wkab68fskgrubdkgby4hkyiasee3hw1kxcdqwu;pdmx-qmckwtabddyhfron3wme8hplfj4axuh7tx1vbthrdlzhfi;pdmx-qmduw5clmja1gnyjvj9z7gqy3zmgaiugokmwgz5ryueasc;pdmx-qmewpazufhy3mejzikxyfpbml5jcwhnhynxgngptcwwchg;pdmx-qmft3r9or4rswuymtgp5buscfeqk8hf64nkujmsqrnkehe;pdmx-qmqlad67a71eia4dvmu3gw3arnbgolmwhakr9etp4cxujd;pdmx-qmru8czvbt2anyqjuv1bgwsqjgcrce5mwgjuihqvpd2ywj;pdmx-qmsqwzwpbdchqs7mthaq1vtsrdpdafpzrfztmj3mcuphvr;pdmx-qmsyeaxrk2rw8uwg9tlnjou6bnzeqg9wp4z9lt6ecjcuvr;pdmx-qmtvutcbjaekbzkrvwebwp6zqzbithwnaercq4zjsatvgq;pdmx-qmvy1jk9ijiwr7gtzmrqywx52xkqrvto3plskvkoink7dx;pdmx-qmyrheizynrnaxtljokf7kjguf2virarnvewo6zgemrnqv,0
f7febb684bfc16a1a2a235416ee2e1f89026bb28afc58cbf29bf0f16e26091ad,10,pdmx-qmazeco6kbbkvft17dumnznc6fglyl348lm83ipetr1dvv;pdmx-qmb4wuvrhnbjipcvbbrqnqikcfsnpkgd855epocidr1axx;pdmx-qmdntwrejzgcl4xtz92ks2wh6mpjem1f7pqrswd3pt69tz;pdmx-qmeckfr6ubx3niu55neo765zrkjjhehybpmgre9xbo7cwc;pdmx-qmpe6eetoruqqmmuk7qabvkxxxss4yi31jv4wyr4db4pyu;pdmx-qmrdqw17caepo7kmo3hwpppnpqqfhdji7jsrfb9qvrjvge;pdmx-qmu6tufb9lu5gz6grqyn4txaoa3uddkk1z294a45joumje;pdmx-qmviryy2anmla28iqvhzrsmkqjrkkh7pagamfnxeb1znyg;pdmx-qmvstjv96e7gxfvves2vrcr7cnhowvh7fte6sd9igwjyqv;pdmx-qmyy2rliekpenopbcnjjxxvgbo1dxxksi97j7rv4vssglb,0
e8bbc32903038c0ab06d4903f12d5908871aad6416f4b19177896984b295e0e7,9,pdmx-qma2sc8pdqeph9vinmq6gsi1okivtvrhd1lj3dpytrk7ep;pdmx-qmbz5smotx1rkzmbcjbtf2nbxc8cw9uz6q2rpm93q9ml8x;pdmx-qmpry35crltqp9bt3wijiu8yvw5mlfgzt9yueub8knoze7;pdmx-qmqfil6iy9xcubpnhqegr78r5m5g1s2xzbpmb94dmxwo7o;pdmx-qmrcywm8zaot73fu7qspgfzuh8azp8jx7nxzti3guwpynh;pdmx-qmtxdzmec9ahihxwmugcr3fjkyicefrtsglpmqd3fnube2;pdmx-qmvkmszls33yekhaspucilzqw4t1svsdvjalsvn3xym45f;pdmx-qmw2pfe6fddbolf8kj4ssuymecktk65qekkup9hnhlhhtr;pdmx-qmzo9rt9faxpirf43g98kxy27u3d3lfbqo9ugltnzgtkmi,0
07ea4cccb8ba38c04077fc503f14f8118ce938f584fc4d8a544d6d31937f4703,8,pdmx-qmckopdke2zgvdh9frfc555ei1tyjxhg3y4rsj5dkhcyku;pdmx-qmrdkywu69t6e1txs2ssjxpsfvhqmmqneelklyoz1q7cal;pdmx-qmru3vn3sgpkreynb3h7ybkjziw6wbprxvkjcai6337ggs;pdmx-qmssv5sz2txrb6yfyqtdafyzcunelyabyvjgthagm9wuzc;pdmx-qmtbt9bb8gvgvam7uab2ghegilmueechnfebs6u8nbtztd;pdmx-qmvnmurht4vbeuwjz4iv8wvwx7einxgygn8edzobiod4gt;pdmx-qmwqgykl1obdinvfimpvtfwyup5grattnskyhvm7twantq;pdmx-qmzettatideppwzip88dhfeh1dyz8pjqnssxnhqcbyctpp,0
080f0141825318edeaace0e8beea1cc66351f2aa08d292fe449ec6996caebbfc,8,pdmx-qmauaqwhc71wy8upnm2b73tt15uuzkmuxwst99zdnnra8j;pdmx-qmdo9mnzcqhcfzm6jrzcpkltegbcdhqjhxtqzld9h49njj;pdmx-qmeiuj6fyxffhwzxgvawedo1ly6htusy61zuq3rnfjkrvi;pdmx-qmtzk6wcnayz56fwhvtrpkzulsq1ar61cmtykkc4tdvdhc;pdmx-qmusxs7ptjbbyfnwaqktc45ritfsagre5vm2jmk4p43ruh;pdmx-qmv4nqg87x572bqg2ovrn823plz1xhv9z7odxabtnk9tm7;pdmx-qmwmxyttpytizenewequtkdhz6w9wlrkbpedydeuvrsn9s;pdmx-qmzqsmzkdirutbxnnhb3et7jywtqn2zhyguv9wuudabhip,0
0d0d8de7a2bf6d1930a9b572309bcff3486f7bd07b78a75b31b36edb9a3b8ac6,8,pdmx-qmauygp2hdoqobveybm4yg7aanq8mubjrw9b1zrh7sfbai;pdmx-qmnhhjjvsazksttmn41gx8spc7vpv7m5pe9fe8dugfgwtd;pdmx-qmnhnhfxweq3lmrff9ggdqgfplq3prdh36zdekfjgnjgqt;pdmx-qmrbnqgfjszunxderhgk4wbsa4wakftecwxajarvcfgmvj;pdmx-qmrxwb6dwhnqtaizz6f45v7trsefp5cxfju5htgz6s1wzc;pdmx-qmxpsayiq14gbn3knnrqvivdyn8okrbyd5sooj6kpyvkzg;pdmx-qmygaxtbexjitattvu3pazyeajbosk2899vxyp8ccqkxzu;pdmx-qmywf3nbc3nngxrsx5zt3exhbrzwk3lkbkhftz66xw2nem,0
5274fafc54333c1e00fa3dc4e6115415c16543f373d1c58dafdd46588818989a,8,pdmx-qmdveeche2w32vcixnr2b5qzlsxgqme2aaanymqtyckkv3;pdmx-qme2lzmjbnyjsyryfipk3hkjwsxyfhpbtgfu7intldzzwy;pdmx-qmpoymaeyq3amt9xhpchbjqpnngkbmy6cl4vynw9tzireu;pdmx-qmpppfws4yh8vym7jvryoa1vhkni2rsa1ru6apqc195hzh;pdmx-qmqsfzvumgjtbsv38wvvp1uyju1tdh8re39hjzx3bnez4m;pdmx-qmrcrzmmgkfb7gnmtu6xshda86cjpjfxlcaospsxwclzjl;pdmx-qms6whvwdgd9tgpzzza7idtkuo6zw7eqe62whuxxjpetki;pdmx-qmvrpv8jgmw9nydht9tv6z3jugxceknyotcnlafyru2xga,0
bb6479668c1e41fd16979675f0826587cb4f0a7f7861010d218a4b6613748119,8,pdmx-qmcskkyvf3xaybvhxtrdwvtgabyqedruqnmu8kgycdrqkt;pdmx-qmdn3woxi5zbabt4wqraccpw7rddwl1frvrcu2kekcsjra;pdmx-qmqpszcetgxdhjnkjyszsbrhjh4d67bezkfmnmabdlskwe;pdmx-qmr5e8gjehimsscctbt5rhjfn4lbagydux9kauvxhyddc2;pdmx-qmt2wewzilkhc6ghih34mtszxwj2p31vfs8l7yecjehboy;pdmx-qmuzcwbcp1diy5e1jvjihsxcb9xpirkqdbadxddffqthtb;pdmx-qmwdvtvgtzqbuxyumd4bdt3mwzyypbhtccku5dhpdstmqa;pdmx-qmxbpcfddf6kzz6axaauqey5m3zk9eptimuhxsttdtbb6s,0
f3175c14549bca7e20364232f75287d9f7da04ce702188dd50dc27e323c777ce,8,pdmx-qmd7hf4imlfwfanfwjr9gynzy3vwuqqph4txbnyr18lxad;pdmx-qmehyrc7y3sd38wvztqbm7qjdcgbtcpoamtwo55mwkgezf;pdmx-qmf1czrpsbmtxk7vhzmrlanzh7yoqzgn8bkse62qt7zzic;pdmx-qmf1npq4aaeg85wcaemwxleeeya2uehp2upbqvn7vqfmpp;pdmx-qmpop8cvgjwvetftsre7htmijbrphx4waykvxnddnnxzc7;pdmx-qmtsvwsjfcakxmgn5oc5bob1mouhg9jyruqubz6qnq8mhj;pdmx-qmuvrf728nhk8sthbf8jv3n2sjerqxfy1rxd1j7qo7vrmk;pdmx-qmx6sffzfxtxwsyqznbyghtxktwgf2xfd7wlrbvet2tqcx,0
4711c5bc27efc2f030eadd5bf21ee8951888911daf5a38386efa340871a3461c,7,pdmx-qmcgzvptbweyqgtsaffuv1uivydxrakmrjfx8nxjhxughq;pdmx-qmcjte9arrxp5jckhequwfil5vzym7xcwc7h8wmes2bbab;pdmx-qmddshtmnmkc9hzgfhhocaoqhpnk5vgnmms2aenz1maffp;pdmx-qmqqgtxhffkxsu1sykacmgtfc4ngqip3p4kiahcskfc54v;pdmx-qmtyz9sumwlubcc8cfyfsfzgvz5dwqqhv1hnhnnotdxvmy;pdmx-qmuouiqs2jssq6pmxavebqjxyjuov6evjud4hjxezp1zv6;pdmx-qmwrdvyckk1dtnsi7blpouaoucrdtjzmgzqcrevyeqgkwj,0
